 1
                 32767                 16383            8589966335
            8589949951           17179899903           17179883519
           34359767039           34359750655           68719501311
           68719484927            4294999551            4294983167
              33583103              33566719               4226559
               4210175              67133439              67117055
              16807935              16791551               8420351
               8403967               4226559                 16383
              67133439                 16383              33583103
                 16383              16807935                 16383
               8420351                 16383              33583103
              67117055              67133439              33566719
           34359767039           68719484927           68719501311
           34359750655               4226559              16791551
               4226559               8403967              16807935
               4210175               8420351               4210175
           17179899903            4294983167            8589966335
            4294983167            4294999551            8589949951
            4294999551           17179883519             100683775
                 16383              67133439              16791551
              67133439               8403967              16807935
              67117055               8420351              67117055
              33583103              16791551               8420351
              16791551              33583103               8403967
              16807935              33566719               8420351
              33566719              16807935               8403967
            8589966335           17179883519           17179899903
            8589949951           17179899903           68719484927
            8589966335           68719484927           17179899903
           34359750655            8589966335           34359750655
           68719501311            8589949951           68719501311
           17179883519           34359767039            8589949951
           34359767039           17179883519                 32767
             100667391                 32767          103079219199
              12614143                 16383              21001727
                 16383          103079235583                 16383
              67133439               4210175               4226559
              67117055               4226559              33566719
              33583103               4210175           34359767039
            4294983167           68719501311            4294983167
            4294999551           34359750655            4294999551
           68719484927                 32767              12597759
          274877939199          274877922815                 32767
           21474850303                 32767           12884916735
                 32767              20985343           21474866687
                 16383           12884933119                 16383
                278527                 16383               4226559
            4294983167               8420351            8589949951
              16807935           17179883519              67133439
           68719484927              33583103           34359750655
           17179899903              16791551            8589966335
               8403967           68719501311              67117055
           34359767039              33566719            4294999551
               4210175              75521023                 16383
              83908607                 16383              41970687
                 16383              50358271                 16383
              25195519                 16383                 32767
               4210175                 32767              67117055
                 32767              33566719                 32767
              16791551                 32767               8403967
               2113535               2113023                 32767
              41954303                 32767              75504639
                 32767              50341887                 32767
              83892223                 32767              25179135
                 32767           85899352063                 32767
           51539617791                 32767           77309418495
                 32767           42949684223                 32767
           25769817087           25769833471                 16383
           85899368447                 16383           77309434879
                 16383           51539634175                 16383
           42949700607                 16383              71327231
                 16383              37776895                 16383
              33583103           68719484927              67133439
           34359750655            2147516351            4294983167
            4294999551            2147499967                 32767
         2473901176319                 32767         4672924432895
         4672924449279                 16383         2473901192703
                 16383                 32767              71310847
                 32767              37760511         8796093050879
         8796093034495        17592186073087        17592186056703
           34359767039              67117055           68719501311
              33566719             134234111                 16383
               4226559           17179883519               4226559
            8589949951              16807935            4294983167
               8420351            4294983167                 32767
           38654717439                 32767           73014451711
           38654733823                 16383           73014468095
                 16383                540671               2111487
               1064959               2112511               1064959
                532479                540671               1056767
                540671                536575               1064959
               1060863               2113535                538623
               2113535               1063935           17179899903
               4210175            8589966335               4210175
                 32767         4947802332159                 32767
         2748779075583                 32767         1649267454975
         4947802348543                 16383         2748779091967
                 16383         1649267471359                 16383
            4294999551              16791551            4294999551
               8403967             536903551           17179883519
            1073774335            8589949951            2147516351
            8589949951            2147516351           17179883519
            1073774335           68719484927             536903551
           68719484927            1073774335           34359750655
             536903551           34359750655                 49151
               2113023           17179899903             536887167
            8589966335            1073757951           68719501311
             536887167           68719501311            1073757951
           17179899903            2147499967            8589966335
            2147499967           34359767039             536887167
           34359767039            1073757951                 32767
        18691697683455                 32767         9895604660223
        18691697699839                 16383         9895604676607
                 16383              16807935           68719484927
               8420351           68719484927               8420351
           17179883519              16807935            8589949951
              67133439           17179883519              67133439
            8589949951              16807935           34359750655
               8420351           34359750655              33583103
           17179883519              33583103            8589949951
                 32767        26388279070719        26388279087103
                 16383           34426867711                 16383
           68753051647                 16383           17179899903
              33566719            8589966335              33566719
           17179899903              67117055            8589966335
              67117055            8589966335              16791551
           68719501311              16791551           17179899903
               8403967           68719501311               8403967
           34359767039              16791551           34359767039
               8403967                 32767           34426851327
                 32767           68753035263              67133439
            4294983167              33583103            4294983167
               4226559           68719484927               4226559
           34359750655            2147515903            2147499519
            4294999551              67117055            4294999551
              33566719           68719501311               4210175
           34359767039               4210175            4303387135
                 16383            4311774719                 16383
                 32767        19791209304063                 32767
        13194139537407           17184093695                 16383
            8594160127                 16383        19791209320447
                 16383        13194139553791                 16383
                 32767            4311758335                 32767
            4303370751                 32767           17184077311
                 32767            8594143743         2199023280127
         2199023263743         4398046535679         4398046519295
                 81919               2111487                147455
               2112511                 49151                538623
                147455                532479                 81919
               1056767                 49151               1063935
                 81919                536575                147455
               1060863          549755838463          549755822079
         1099511656447         1099511640063          549755845631
          549755829247          549755844607          549755828223
         1099511659519         1099511643135         1099511658495
         1099511642111         4398046542847         4398046526463
         2199023286271         2199023269887                 32767
         9070970942975                 32767        17867063966207
        17867063982591                 16383         9070970959359
                 16383             138427903                 16383
             201334783                 16383             167784447
                 16383             151009279                 16383
             142621695                 16383            1073774335
            4294983167             536903551            4294983167
            4294999551             536887167            4294999551
            1073757951               4472319                 16383
          274877939199         4398046526463         4398046542847
          274877922815         2199023286271          274877922815
          274877939199         2199023269887              67379199
                 16383              33828863                 16383
               8666111                 16383              17053695
                 16383           17213450239                 16383
            8623516671                 16383           17247000575
